Porous_Media,Residually_Trapped,Fractured_Rock
203.0293824,7.387448972,19.88928424
222.8528307,13.25802374,0.002309979
221.929287,10.44030834,0.979802751
222.0636703,12.13882344,0.905727505
222.4865539,13.64371217,0
171.3722711,10.16519604,51.65375882
195.0533577,6.441247172,27.866709
162.2072324,9.15645426,60.80132019
222.2597199,10.03885459,0.581920019
222.968008,11.48783523,6.43E-05
198.9557422,7.316754346,23.97092444
221.6994044,10.97274614,1.262130236
213.4841176,10.19946205,9.015639974
192.5856623,7.584552658,30.39422607
222.864541,14.48811006,0
219.6652529,6.860919049,3.134395156
182.7946967,4.29153183,40.21171674
167.8733391,7.525404222,55.08088383
161.0827892,4.620620083,61.88657531
223.0291664,16.67601457,0.000326991
222.5372782,13.99520994,0.013054705
222.7887806,14.79041801,0.228171115
222.9261175,11.53534819,0
212.780948,10.41258199,10.23156416
202.5759996,7.171973142,20.35946341
185.7418688,6.107217755,37.26825325
211.2221706,11.89359701,11.80354652
192.6356825,5.709769345,30.26560342
203.3288114,10.71533103,19.18146355
222.521874,13.45286621,0
222.5166659,14.34961431,0
208.2471673,13.40413452,14.77605238
223.0010991,14.41131266,1.97E-05
215.8020252,9.500477054,7.175683672
222.5209098,14.55182027,0
221.7764083,12.55209454,0.744023655
222.787993,15.25756304,0.233048045
217.1484966,9.030595628,5.769541219
218.6208984,10.80602054,4.327626863
189.2685482,4.426366128,33.62598202
222.8587353,12.86560031,0
222.914835,12.01334417,1.82E-08
221.1872626,8.607863139,1.770855408
222.5227465,14.39390329,0
159.8354802,5.258019873,63.06591019
222.5407863,16.91947069,0
222.5165944,14.47949668,0
174.3651825,6.916809897,48.58976485
222.9581842,15.7934346,0
222.9096301,12.44635072,0
220.3502834,10.80185935,2.147312694
198.0356693,10.93093011,24.9732874
190.644511,6.956813848,32.30958764
201.8867992,10.19419414,21.13053365
222.8464146,12.99916631,0
222.9144825,12.21294015,0
206.7440946,10.59981316,16.2498551
222.5322244,16.20018935,0
156.7390963,4.999044793,66.16673593
222.5460135,17.26248784,0
222.8655756,14.22019484,0
222.9463106,12.78303072,1.64E-05
222.9580739,7.96944641,25.68158377
222.5383675,15.10722214,4.75E-05
222.9178311,14.19330503,0
201.5894369,11.33515278,21.42140996
206.0594945,8.076493313,16.92821172
222.4747136,9.570561344,0
222.5149991,13.78445405,3.06E-05
176.728296,6.296775108,46.19034064
200.967937,11.58191978,22.05583368
171.3173364,8.440184958,51.6535303
212.1161977,13.93152165,10.91633827
211.1704771,9.859546284,11.80778098
222.5402884,13.21818751,0
222.9659806,14.5925124,0
222.5269756,16.60204949,0
222.8280856,13.46077892,0
220.1865843,7.630398061,2.742999788
190.5200876,10.40693252,32.49983872
191.8046505,8.25868718,30.66765656
195.3443345,6.371464084,27.57653638
157.6385081,7.816152708,65.36477151
222.5339482,15.23643259,0
211.0943932,10.54116303,11.9075763
160.039171,6.890858701,62.89982671
215.1187739,9.978753701,7.857915589
220.5450608,8.076193196,2.382392535
222.8387509,10.90688122,5.23E-05
191.8046505,8.25868718,30.66765656
